"FeatureName","DateCode","Value","Energy.Type"
"Orkney Islands",2016,11.616,"Bioenergy & Wastes"
"Argyll and Bute",2016,499.148,"Electricity"
"City of Edinburgh",2016,3064.674,"Petroleum Products"
"City of Edinburgh",2016,2323.985,"Electricity"
"East Lothian",2016,4.864,"Manufactured Fuels"
"Na h-Eileanan Siar",2016,394.901,"Petroleum Products"
"Dumfries and Galloway",2016,17.984,"Manufactured Fuels"
"East Lothian",2016,83.422,"Bioenergy & Wastes"
"East Renfrewshire",2016,23.307,"Bioenergy & Wastes"
"Angus",2016,13.354,"Coal"
"East Lothian",2016,740.855,"Gas"
"Renfrewshire",2016,36.43,"Bioenergy & Wastes"
"Renfrewshire",2016,1.491,"Manufactured Fuels"
"East Renfrewshire",2016,1.847,"Manufactured Fuels"
"East Renfrewshire",2016,236.822,"Electricity"
"Dundee City",2016,22.465,"Bioenergy & Wastes"
"City of Edinburgh",2016,23.056,"Coal"
"Na h-Eileanan Siar",2016,150.033,"Electricity"
"Renfrewshire",2016,0.869,"Coal"
"East Lothian",2016,576.633,"Coal"
"Argyll and Bute",2016,6.084,"Manufactured Fuels"
"Argyll and Bute",2016,61.398,"Bioenergy & Wastes"
"Argyll and Bute",2016,37.304,"Coal"
"East Ayrshire",2016,1082.455,"Petroleum Products"
"East Lothian",2016,462.046,"Electricity"
"East Ayrshire",2016,1036.84,"Gas"
"Renfrewshire",2016,1312.048,"Petroleum Products"
"East Ayrshire",2016,195.832,"Bioenergy & Wastes"
"Glasgow City",2016,2792.481,"Electricity"
"Clackmannanshire",2016,1.156,"Coal"
"Shetland Islands",2016,2.233,"Manufactured Fuels"
"Fife",2016,1571.237,"Electricity"
"Fife",2016,278.162,"Bioenergy & Wastes"
"Stirling",2016,1255.196,"Gas"
"Fife",2016,14.282,"Coal"
"Stirling",2016,1194.616,"Petroleum Products"
"Inverclyde",2016,456.023,"Petroleum Products"
"Fife",2016,3378.961,"Gas"
"Highland",2016,3485.85,"Petroleum Products"
"Clackmannanshire",2016,1099.814,"Gas"
"West Lothian",2016,1638.839,"Petroleum Products"
"Stirling",2016,6.154,"Coal"
"Fife",2016,21.292,"Manufactured Fuels"
"North Lanarkshire",2016,2836.808,"Gas"
"North Lanarkshire",2016,100.148,"Bioenergy & Wastes"
"South Ayrshire",2016,477.877,"Electricity"
"West Lothian",2016,830.122,"Electricity"
"Scottish Borders",2016,564.801,"Electricity"
"Moray",2016,23.234,"Coal"
"Inverclyde",2016,317.231,"Electricity"
"Inverclyde",2016,16.58,"Bioenergy & Wastes"
"Inverclyde",2016,633.248,"Gas"
"Stirling",2016,474.032,"Electricity"
"Shetland Islands",2016,189.686,"Electricity"
"Glasgow City",2016,91.107,"Bioenergy & Wastes"
"Midlothian",2016,348.024,"Electricity"
"Perth and Kinross",2016,2595.403,"Petroleum Products"
"Midlothian",2016,662.592,"Gas"
"Stirling",2016,4.343,"Manufactured Fuels"
"West Lothian",2016,1721.437,"Gas"
"Clackmannanshire",2016,12.371,"Bioenergy & Wastes"
"Stirling",2016,639.576,"Bioenergy & Wastes"
"Angus",2016,48.383,"Bioenergy & Wastes"
"East Renfrewshire",2016,0.859,"Coal"
"Fife",2016,7129.495,"Petroleum Products"
"South Lanarkshire",2016,2964.027,"Petroleum Products"
"Inverclyde",2016,1.318,"Manufactured Fuels"
"South Lanarkshire",2016,1166.523,"Electricity"
"South Lanarkshire",2016,19.029,"Coal"
"Glasgow City",2016,5035.525,"Gas"
"Shetland Islands",2016,15.89,"Bioenergy & Wastes"
"Moray",2016,1848.991,"Gas"
"Moray",2016,495.535,"Electricity"
"East Renfrewshire",2019,769.989,"Gas"
"Orkney Islands",2019,4.988,"Coal"
"City of Edinburgh",2019,4602.524,"Gas"
"North Lanarkshire",2019,180.931,"Bioenergy & Wastes"
"East Ayrshire",2019,416.739,"Electricity"
"City of Edinburgh",2019,2268.726,"Electricity"
"Angus",2019,8.81,"Coal"
"Orkney Islands",2019,0,"Gas"
"Orkney Islands",2019,2.529,"Manufactured Fuels"
"North Lanarkshire",2019,3.368,"Coal"
"City of Edinburgh",2019,2909.64,"Petroleum Products"
"City of Edinburgh",2019,14.348,"Coal"
"Orkney Islands",2019,18.52,"Bioenergy & Wastes"
"East Ayrshire",2019,328.059,"Bioenergy & Wastes"
"City of Edinburgh",2019,185.108,"Bioenergy & Wastes"
"East Renfrewshire",2019,37.21,"Bioenergy & Wastes"
"City of Edinburgh",2019,4.274,"Manufactured Fuels"
"Scottish Borders",2019,1563.115,"Petroleum Products"
"East Dunbartonshire",2019,915.26,"Gas"
"Highland",2019,1133.137,"Gas"
"West Dunbartonshire",2019,735.441,"Gas"
"Clackmannanshire",2019,19.398,"Bioenergy & Wastes"
"Highland",2019,1139.387,"Bioenergy & Wastes"
"Clackmannanshire",2019,2.728,"Manufactured Fuels"
"Aberdeen City",2019,2278.418,"Gas"
"East Dunbartonshire",2019,508.291,"Petroleum Products"
"East Renfrewshire",2019,0.779,"Coal"
"East Renfrewshire",2019,620.316,"Petroleum Products"
"Aberdeen City",2019,136.058,"Bioenergy & Wastes"
"North Ayrshire",2019,2217.444,"Gas"
"Clackmannanshire",2019,298.765,"Electricity"
"East Lothian",2019,466.791,"Electricity"
"Orkney Islands",2019,140.287,"Electricity"
"East Lothian",2019,813.001,"Gas"
"East Lothian",2019,294.25,"Bioenergy & Wastes"
"East Renfrewshire",2019,223.196,"Electricity"
"North Lanarkshire",2019,3278.297,"Petroleum Products"
"East Renfrewshire",2019,2.334,"Manufactured Fuels"
"Argyll and Bute",2019,21.526,"Coal"
"Dumfries and Galloway",2019,19.2,"Manufactured Fuels"
"Na h-Eileanan Siar",2019,153.388,"Electricity"
"Dundee City",2019,800.261,"Petroleum Products"
