"","FeatureName","DateCode","Value","Energy.Type","Energy.Consuming.Sector"
"322","Highland",2016,1096.467,"Bioenergy & Wastes","All"
"323","North Ayrshire",2016,660.905,"Electricity","All"
"324","West Lothian",2016,3.653,"Coal","All"
"325","Aberdeen City",2016,1151.352,"Electricity","All"
"326","Highland",2016,7395.977,"All","All"
"327","Dundee City",2016,676.996,"Electricity","All"
"328","Scottish Borders",2016,797.132,"Gas","All"
"329","Scottish Borders",2016,75.754,"Coal","All"
"330","Falkirk",2016,2.718,"Coal","All"
"331","Orkney Islands",2016,2.198,"Manufactured Fuels","All"
"332","Dundee City",2016,811.047,"Petroleum Products","All"
"333","West Dunbartonshire",2016,0.194,"Coal","All"
"334","Renfrewshire",2016,3691.656,"All","All"
"335","West Dunbartonshire",2016,339.762,"Electricity","All"
"336","East Renfrewshire",2016,635.379,"Petroleum Products","All"
"337","East Renfrewshire",2016,746.451,"Gas","All"
"338","Angus",2016,4.898,"Manufactured Fuels","All"
"339","City of Edinburgh",2016,4550.348,"Gas","All"
"340","Argyll and Bute",2016,452.073,"Gas","All"
"341","City of Edinburgh",2016,106.753,"Bioenergy & Wastes","All"
"342","Angus",2016,514.192,"Electricity","All"
"343","North Lanarkshire",2016,3033.893,"Petroleum Products","All"
"344","East Ayrshire",2016,433.17,"Electricity","All"
"345","Renfrewshire",2016,1570.527,"Gas","All"
"346","East Ayrshire",2016,66.211,"Coal","All"
"347","Dundee City",2016,2921.352,"All","All"
"348","Orkney Islands",2016,134.114,"Electricity","All"
"349","Na h-Eileanan Siar",2016,15.146,"Gas","All"
"350","Renfrewshire",2016,770.291,"Electricity","All"
"351","Orkney Islands",2016,7.194,"Coal","All"
"352","East Lothian",2016,903.805,"Petroleum Products","All"
"353","East Ayrshire",2016,5.523,"Manufactured Fuels","All"
"354","City of Edinburgh",2016,3.696,"Manufactured Fuels","All"
"355","Angus",2016,893.631,"Gas","All"
"356","Argyll and Bute",2016,1157.117,"Petroleum Products","All"
"357","Orkney Islands",2016,350.331,"Petroleum Products","All"
"358","East Ayrshire",2016,2820.031,"All","All"
"359","Angus",2016,2737.808,"All","All"
"360","Angus",2016,1263.35,"Petroleum Products","All"
"361","Orkney Islands",2016,11.616,"Bioenergy & Wastes","All"
"362","Argyll and Bute",2016,499.148,"Electricity","All"
"363","West Dunbartonshire",2016,1645.124,"All","All"
"364","City of Edinburgh",2016,3064.674,"Petroleum Products","All"
"365","City of Edinburgh",2016,2323.985,"Electricity","All"
"366","East Lothian",2016,4.864,"Manufactured Fuels","All"
"367","Na h-Eileanan Siar",2016,394.901,"Petroleum Products","All"
"368","Dumfries and Galloway",2016,17.984,"Manufactured Fuels","All"
"369","East Lothian",2016,83.422,"Bioenergy & Wastes","All"
"370","East Renfrewshire",2016,23.307,"Bioenergy & Wastes","All"
"371","Angus",2016,13.354,"Coal","All"
"372","East Lothian",2016,740.855,"Gas","All"
"373","Renfrewshire",2016,36.43,"Bioenergy & Wastes","All"
"374","Argyll and Bute",2016,2213.124,"All","All"
"375","Renfrewshire",2016,1.491,"Manufactured Fuels","All"
"376","East Renfrewshire",2016,1644.665,"All","All"
"377","East Renfrewshire",2016,1.847,"Manufactured Fuels","All"
"378","East Renfrewshire",2016,236.822,"Electricity","All"
"379","Dundee City",2016,22.465,"Bioenergy & Wastes","All"
"380","City of Edinburgh",2016,23.056,"Coal","All"
"381","East Lothian",2016,2771.624,"All","All"
"382","Na h-Eileanan Siar",2016,150.033,"Electricity","All"
"383","Na h-Eileanan Siar",2016,601.039,"All","All"
"384","Renfrewshire",2016,0.869,"Coal","All"
"385","East Lothian",2016,576.633,"Coal","All"
"386","Argyll and Bute",2016,6.084,"Manufactured Fuels","All"
"387","Argyll and Bute",2016,61.398,"Bioenergy & Wastes","All"
"388","Argyll and Bute",2016,37.304,"Coal","All"
"389","East Ayrshire",2016,1082.455,"Petroleum Products","All"
"390","East Lothian",2016,462.046,"Electricity","All"
"391","East Ayrshire",2016,1036.84,"Gas","All"
"392","Renfrewshire",2016,1312.048,"Petroleum Products","All"
"393","City of Edinburgh",2016,10072.51,"All","All"
"394","East Ayrshire",2016,195.832,"Bioenergy & Wastes","All"
"395","Glasgow City",2016,2792.481,"Electricity","All"
"396","Clackmannanshire",2016,1.156,"Coal","All"
"397","Shetland Islands",2016,2.233,"Manufactured Fuels","All"
"398","Fife",2016,1571.237,"Electricity","All"
"399","Fife",2016,278.162,"Bioenergy & Wastes","All"
"400","Stirling",2016,1255.196,"Gas","All"
"401","Stirling",2016,3573.918,"All","All"
"402","Fife",2016,14.282,"Coal","All"
"403","Stirling",2016,1194.616,"Petroleum Products","All"
"404","Inverclyde",2016,456.023,"Petroleum Products","All"
"405","Fife",2016,3378.961,"Gas","All"
"406","Highland",2016,3485.85,"Petroleum Products","All"
"407","Clackmannanshire",2016,1099.814,"Gas","All"
"408","West Lothian",2016,1638.839,"Petroleum Products","All"
"409","Stirling",2016,6.154,"Coal","All"
"410","Fife",2016,21.292,"Manufactured Fuels","All"
"411","North Lanarkshire",2016,2836.808,"Gas","All"
"412","North Lanarkshire",2016,100.148,"Bioenergy & Wastes","All"
"413","South Ayrshire",2016,2920.272,"All","All"
"414","South Ayrshire",2016,477.877,"Electricity","All"
"415","West Lothian",2016,830.122,"Electricity","All"
"416","Scottish Borders",2016,564.801,"Electricity","All"
"417","Moray",2016,23.234,"Coal","All"
"418","Inverclyde",2016,317.231,"Electricity","All"
"419","Clackmannanshire",2016,1722.49,"All","All"
"420","Inverclyde",2016,1424.976,"All","All"
"421","Inverclyde",2016,16.58,"Bioenergy & Wastes","All"
"422","Inverclyde",2016,633.248,"Gas","All"
"423","Stirling",2016,474.032,"Electricity","All"
"424","Shetland Islands",2016,189.686,"Electricity","All"
"425","Glasgow City",2016,91.107,"Bioenergy & Wastes","All"
"426","Midlothian",2016,348.024,"Electricity","All"
"427","Perth and Kinross",2016,2595.403,"Petroleum Products","All"
"428","Midlothian",2016,662.592,"Gas","All"
"429","Stirling",2016,4.343,"Manufactured Fuels","All"
"430","West Lothian",2016,1721.437,"Gas","All"
"431","Clackmannanshire",2016,12.371,"Bioenergy & Wastes","All"
"432","Stirling",2016,639.576,"Bioenergy & Wastes","All"
"433","Angus",2016,48.383,"Bioenergy & Wastes","All"
"434","East Renfrewshire",2016,0.859,"Coal","All"
"435","Fife",2016,7129.495,"Petroleum Products","All"
"436","West Lothian",2016,4252.152,"All","All"
"437","Fife",2016,12393.43,"All","All"
"438","South Lanarkshire",2016,2964.027,"Petroleum Products","All"
"439","Inverclyde",2016,1.318,"Manufactured Fuels","All"
"440","Moray",2016,3407.35,"All","All"
"441","South Lanarkshire",2016,6680.051,"All","All"
"442","South Lanarkshire",2016,1166.523,"Electricity","All"
"443","South Lanarkshire",2016,19.029,"Coal","All"
"444","Glasgow City",2016,5035.525,"Gas","All"
