"","FeatureName","DateCode","Age","Value"
"371","South Lanarkshire",2020,"16-64 years",6.8
"372","Stirling",2020,"16-64 years",2.6
"373","West Dunbartonshire",2020,"16-64 years",1.3
"374","West Lothian",2020,"16-64 years",5.2
"375","Aberdeen City",2015,"25-49 years",4.7
"376","Aberdeenshire",2015,"25-49 years",15.775
"377","Angus",2015,"25-49 years",9.95
"378","Argyll and Bute",2015,"25-49 years",10.15
"379","City of Edinburgh",2015,"25-49 years",10.1
"380","Clackmannanshire",2015,"25-49 years",19.625
"381","Dumfries and Galloway",2015,"25-49 years",3.075
"382","Dundee City",2015,"25-49 years",10.975
"383","East Ayrshire",2015,"25-49 years",6.2
"384","East Dunbartonshire",2015,"25-49 years",6.8
"385","East Lothian",2015,"25-49 years",10.475
"386","East Renfrewshire",2015,"25-49 years",8.2
"387","Falkirk",2015,"25-49 years",8.975
"388","Fife",2015,"25-49 years",9.45
"389","Glasgow City",2015,"25-49 years",7.925
"390","Highland",2015,"25-49 years",13.575
"391","Inverclyde",2015,"25-49 years",4.625
"392","Midlothian",2015,"25-49 years",6.85
"393","Moray",2015,"25-49 years",13.825
"394","Na h-Eileanan Siar",2015,"25-49 years",-3.4
"395","North Ayrshire",2015,"25-49 years",12.525
"396","North Lanarkshire",2015,"25-49 years",5.875
"397","Orkney Islands",2015,"25-49 years",8.225
"398","Perth and Kinross",2015,"25-49 years",4.15
"399","Renfrewshire",2015,"25-49 years",0.075
"400","Scottish Borders",2015,"25-49 years",8.125
"401","Shetland Islands",2015,"25-49 years",14.15
"402","South Ayrshire",2015,"25-49 years",10.5
"403","South Lanarkshire",2015,"25-49 years",10.1
"404","Stirling",2015,"25-49 years",9.425
"405","West Dunbartonshire",2015,"25-49 years",5.125
"406","West Lothian",2015,"25-49 years",7.15
"407","Aberdeen City",2016,"25-49 years",3.475
"408","Aberdeenshire",2016,"25-49 years",15.125
"409","Angus",2016,"25-49 years",10.925
"410","Argyll and Bute",2016,"25-49 years",8.825
"411","City of Edinburgh",2016,"25-49 years",15.65
"412","Clackmannanshire",2016,"25-49 years",15.6
"413","Dumfries and Galloway",2016,"25-49 years",7.125
"414","Dundee City",2016,"25-49 years",-2.7
"415","East Ayrshire",2016,"25-49 years",9.35
"416","East Dunbartonshire",2016,"25-49 years",7.875
"417","East Lothian",2016,"25-49 years",12.475
"418","East Renfrewshire",2016,"25-49 years",7.15
"419","Falkirk",2016,"25-49 years",12.575
"420","Fife",2016,"25-49 years",8.725
"421","Glasgow City",2016,"25-49 years",6.25
"422","Highland",2016,"25-49 years",5.675
"423","Inverclyde",2016,"25-49 years",-2.875
"424","Midlothian",2016,"25-49 years",11.3
"425","Moray",2016,"25-49 years",13.35
